token,short_token,L894_class,L894_weight,L894_duration,L894_world_span,L901_class,L901_weight,L901_duration,L901_world_span,L911_class,L911_weight,L911_duration,L911_world_span,class_sequence,weight_sequence,duration_sequence,world_span_sequence,trend,max_rank,weight_delta_total
dio_mcm_episode_1hs3jsa,1hs3jsa,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,6,204.000000,2,- -> - -> schwacher_anschluss,0 -> 0 -> 6,0.00 -> 0.00 -> 204.00,0 -> 0 -> 2,aufsteigende_verdichtung,1,6
dio_mcm_episode_1i31hl0,1i31hl0,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1jaecfa,1jaecfa,-,0,0.000000,0,schwacher_anschluss,1,1245.000000,1,schwacher_anschluss,1,1245.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1245.00 -> 1245.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1jansx7,1jansx7,-,0,0.000000,0,schwacher_anschluss,1,2016.000000,1,schwacher_anschluss,1,2016.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 2016.00 -> 2016.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1k7xap1,1k7xap1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 2.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1morx8x,1morx8x,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1n9f8vr,1n9f8vr,-,0,0.000000,0,schwacher_anschluss,2,2.000000,1,schwacher_anschluss,1,2.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 1,0.00 -> 2.00 -> 2.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1t42af6,1t42af6,-,0,0.000000,0,schwacher_anschluss,4,312.250000,2,schwacher_anschluss,4,312.250000,2,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 4 -> 4,0.00 -> 312.25 -> 312.25,0 -> 2 -> 2,aufsteigende_verdichtung,1,4
dio_mcm_episode_0ac3vc1,0ac3vc1,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 2.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_0dgle71,0dgle71,-,0,0.000000,0,schwacher_anschluss,10,60.400000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 10 -> 0,0.00 -> 60.40 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_0jwgafx,0jwgafx,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 3.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_0k7ekcr,0k7ekcr,-,0,0.000000,0,schwacher_anschluss,1,455.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 455.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_0w9dwz3,0w9dwz3,-,0,0.000000,0,schwacher_anschluss,2,26.500000,2,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 2 -> 0,0.00 -> 26.50 -> 0.00,0 -> 2 -> 0,rollendrift,1,0
dio_mcm_episode_14k61ms,14k61ms,-,0,0.000000,0,schwacher_anschluss,1,917.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 917.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_15cyz2v,15cyz2v,-,0,0.000000,0,schwacher_anschluss,1,757.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 757.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_1engxbn,1engxbn,-,0,0.000000,0,schwacher_anschluss,9,242.333333,2,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 9 -> 0,0.00 -> 242.33 -> 0.00,0 -> 2 -> 0,rollendrift,1,0
dio_mcm_episode_1n2f96o,1n2f96o,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 3.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_1qqnvqf,1qqnvqf,-,0,0.000000,0,schwacher_anschluss,2,41.500000,2,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 2 -> 0,0.00 -> 41.50 -> 0.00,0 -> 2 -> 0,rollendrift,1,0
dio_mcm_episode_1x5cw2v,1x5cw2v,-,0,0.000000,0,schwacher_anschluss,1,4.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 4.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_1xm3b1l,1xm3b1l,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,- -> schwacher_anschluss -> -,0 -> 1 -> 0,0.00 -> 3.00 -> 0.00,0 -> 1 -> 0,rollendrift,1,0
dio_mcm_episode_0393v08,0393v08,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,3.00 -> 3.00 -> 3.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_05lquqm,05lquqm,schwacher_anschluss,4,2.000000,1,schwacher_anschluss,10,1.200000,1,schwacher_anschluss,10,1.200000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,4 -> 10 -> 10,2.00 -> 1.20 -> 1.20,1 -> 1 -> 1,stabile_rolle,1,6
dio_mcm_episode_08ubq99,08ubq99,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,2.00 -> 1.00 -> 1.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0aztxel,0aztxel,schwacher_anschluss,3,1.333333,1,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,7,2.428571,3,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,3 -> 1 -> 7,1.33 -> 2.00 -> 2.43,1 -> 1 -> 3,stabile_rolle,1,4
dio_mcm_episode_0dsrwv5,0dsrwv5,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,1.00 -> 1.00 -> 1.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0ej0lhx,0ej0lhx,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,2.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,2.00 -> 2.00 -> 2.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0fljihc,0fljihc,schwacher_anschluss,1,931.000000,1,schwacher_anschluss,2,100.000000,1,schwacher_anschluss,1,104.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 2 -> 1,931.00 -> 100.00 -> 104.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0jlkrep,0jlkrep,schwacher_anschluss,2,1.000000,2,schwacher_anschluss,2,1.000000,1,schwacher_anschluss,2,1.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 2 -> 2,1.00 -> 1.00 -> 1.00,2 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0lfde2c,0lfde2c,schwacher_anschluss,3,178.000000,1,schwacher_anschluss,1,4.000000,1,schwacher_anschluss,1,4.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,3 -> 1 -> 1,178.00 -> 4.00 -> 4.00,1 -> 1 -> 1,stabile_rolle,1,-2
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,4,2.250000,4,schwacher_anschluss,6,3.000000,6,schwacher_anschluss,9,2.444444,6,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,4 -> 6 -> 9,2.25 -> 3.00 -> 2.44,4 -> 6 -> 6,stabile_rolle,1,5
dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,2,1090.000000,1,schwacher_anschluss,5,655.600000,2,schwacher_anschluss,5,655.600000,2,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 5 -> 5,1090.00 -> 655.60 -> 655.60,1 -> 2 -> 2,stabile_rolle,1,3
dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,2,583.000000,1,schwacher_anschluss,5,669.200000,2,schwacher_anschluss,7,541.714286,2,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 5 -> 7,583.00 -> 669.20 -> 541.71,1 -> 2 -> 2,stabile_rolle,1,5
dio_mcm_episode_0nuo9k1,0nuo9k1,schwacher_anschluss,1,21.000000,1,schwacher_anschluss,1,21.000000,1,schwacher_anschluss,1,21.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,21.00 -> 21.00 -> 21.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0t1ymth,0t1ymth,schwacher_anschluss,1,36.000000,1,schwacher_anschluss,1,36.000000,1,schwacher_anschluss,1,36.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,36.00 -> 36.00 -> 36.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_10b8y4e,10b8y4e,schwacher_anschluss,1,20.000000,1,schwacher_anschluss,3,16.666667,2,schwacher_anschluss,3,16.666667,2,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 3 -> 3,20.00 -> 16.67 -> 16.67,1 -> 2 -> 2,stabile_rolle,1,2
dio_mcm_episode_19dxnmz,19dxnmz,schwacher_anschluss,1,581.000000,1,schwacher_anschluss,1,581.000000,1,schwacher_anschluss,1,581.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1,581.00 -> 581.00 -> 581.00,1 -> 1 -> 1,stabile_rolle,1,0
dio_mcm_episode_19w9kxc,19w9kxc,schwacher_anschluss,2,934.500000,1,schwacher_anschluss,1,1119.000000,1,schwacher_anschluss,1,1119.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 1 -> 1,934.50 -> 1119.00 -> 1119.00,1 -> 1 -> 1,stabile_rolle,1,-1
dio_mcm_episode_1b3r4if,1b3r4if,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,2,1.000000,1,schwacher_anschluss,2,1.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 2 -> 2,2.00 -> 1.00 -> 1.00,1 -> 1 -> 1,stabile_rolle,1,1
dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,2,14.500000,1,schwacher_anschluss,1,76.000000,1,schwacher_anschluss,1,76.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 1 -> 1,14.50 -> 76.00 -> 76.00,1 -> 1 -> 1,stabile_rolle,1,-1
dio_mcm_episode_1i1sl4l,1i1sl4l,schwacher_anschluss,6,17.333333,2,schwacher_anschluss,9,3.555555,2,schwacher_anschluss,3,6.333333,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,6 -> 9 -> 3,17.33 -> 3.56 -> 6.33,2 -> 2 -> 1,stabile_rolle,1,-3
dio_mcm_episode_1k0rrn2,1k0rrn2,schwacher_anschluss,2,1.000000,1,schwacher_anschluss,4,1.000000,2,schwacher_anschluss,4,1.000000,2,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 4 -> 4,1.00 -> 1.00 -> 1.00,1 -> 2 -> 2,stabile_rolle,1,2
dio_mcm_episode_1pmt8u2,1pmt8u2,schwacher_anschluss,1,1985.000000,1,schwacher_anschluss,3,714.000000,1,schwacher_anschluss,2,1029.000000,1,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 3 -> 2,1985.00 -> 714.00 -> 1029.00,1 -> 1 -> 1,stabile_rolle,1,1
dio_mcm_episode_1y2gc2i,1y2gc2i,schwacher_anschluss,2,2.000000,2,schwacher_anschluss,4,2.000000,4,schwacher_anschluss,4,2.000000,4,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 4 -> 4,2.00 -> 2.00 -> 2.00,2 -> 4 -> 4,stabile_rolle,1,2
